"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 10:15:03 GMT 2021","Sun Aug 08 10:15:04 GMT 2021","1015","test_conduit","conduit_test","TestCondiutLogin","","","test_login",""
"failed","Sun Aug 08 10:14:59 GMT 2021","Sun Aug 08 10:15:00 GMT 2021","1093","test_conduit","conduit_test","TestCondiutLogin","","","test_sign_up",""
"passed","Sun Aug 08 10:14:56 GMT 2021","Sun Aug 08 10:14:56 GMT 2021","7","test_conduit","conduit_test","TestCondiutLogin","","","test__home_page_appearances",""
