"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 10:16:02 GMT 2021","Sun Aug 08 10:16:03 GMT 2021","947","test_conduit","conduit_test","TestCondiutLogin","","","test_login",""
"passed","Sun Aug 08 10:15:55 GMT 2021","Sun Aug 08 10:15:55 GMT 2021","7","test_conduit","conduit_test","TestCondiutLogin","","","test__home_page_appearances",""
"failed","Sun Aug 08 10:15:58 GMT 2021","Sun Aug 08 10:15:59 GMT 2021","1190","test_conduit","conduit_test","TestCondiutLogin","","","test_sign_up",""
