"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 20:37:01 GMT 2021","Mon Aug 09 20:37:08 GMT 2021","7296","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
"passed","Mon Aug 09 20:37:17 GMT 2021","Mon Aug 09 20:37:18 GMT 2021","1623","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Mon Aug 09 20:37:31 GMT 2021","Mon Aug 09 20:37:47 GMT 2021","16632","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Mon Aug 09 20:37:11 GMT 2021","Mon Aug 09 20:37:14 GMT 2021","3125","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
"passed","Mon Aug 09 20:37:50 GMT 2021","Mon Aug 09 20:38:07 GMT 2021","17016","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
"passed","Mon Aug 09 20:38:10 GMT 2021","Mon Aug 09 20:38:18 GMT 2021","7688","test_conduit","conduit_test","TestCondiutApp","","","test_logout",""
"passed","Mon Aug 09 20:37:20 GMT 2021","Mon Aug 09 20:37:29 GMT 2021","8779","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Mon Aug 09 20:36:58 GMT 2021","Mon Aug 09 20:36:58 GMT 2021","5","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
"passed","Mon Aug 09 20:38:21 GMT 2021","Mon Aug 09 20:39:24 GMT 2021","63461","test_conduit","conduit_test","TestCondiutApp","","","test_rsd_entry_from_file",""
