"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 10:49:52 GMT 2021","Sun Aug 08 10:50:05 GMT 2021","12568","test_conduit","test_locally_test","TestCondiutLocally","","","test_sign_up",""
"passed","Sun Aug 08 10:58:25 GMT 2021","Sun Aug 08 10:58:25 GMT 2021","7","test_conduit","conduit_test","TestCondiutLogin","","","test__home_page_appearances",""
"passed","Sun Aug 08 10:58:27 GMT 2021","Sun Aug 08 10:58:33 GMT 2021","5315","test_conduit","conduit_test","TestCondiutLogin","","","test_cookie_accept",""
"passed","Sun Aug 08 10:49:47 GMT 2021","Sun Aug 08 10:49:48 GMT 2021","1006","test_conduit","test_locally_test","TestCondiutLocally","","","test_login",""
"passed","Sun Aug 08 10:58:39 GMT 2021","Sun Aug 08 10:58:40 GMT 2021","1034","test_conduit","conduit_test","TestCondiutLogin","","","test_login",""
"failed","Sun Aug 08 10:58:35 GMT 2021","Sun Aug 08 10:58:37 GMT 2021","1255","test_conduit","conduit_test","TestCondiutLogin","","","test_sign_up",""
