"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 19:43:20 GMT 2021","Wed Aug 11 19:43:28 GMT 2021","7300","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
"passed","Wed Aug 11 19:43:36 GMT 2021","Wed Aug 11 19:43:37 GMT 2021","974","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Wed Aug 11 19:43:30 GMT 2021","Wed Aug 11 19:43:33 GMT 2021","2510","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
"passed","Wed Aug 11 19:43:38 GMT 2021","Wed Aug 11 19:43:46 GMT 2021","8271","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Wed Aug 11 19:45:42 GMT 2021","Wed Aug 11 19:45:45 GMT 2021","2813","test_conduit","conduit_test","TestCondiutApp","","","test_save_data_from_web_to_file",""
"passed","Wed Aug 11 19:45:54 GMT 2021","Wed Aug 11 19:45:59 GMT 2021","4495","test_conduit","conduit_test","TestCondiutApp","","","test_data_listing",""
"passed","Wed Aug 11 19:44:07 GMT 2021","Wed Aug 11 19:44:25 GMT 2021","18304","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
"passed","Wed Aug 11 19:45:47 GMT 2021","Wed Aug 11 19:45:52 GMT 2021","4519","test_conduit","conduit_test","TestCondiutApp","","","test_pagination",""
"passed","Wed Aug 11 19:44:28 GMT 2021","Wed Aug 11 19:44:35 GMT 2021","7469","test_conduit","conduit_test","TestCondiutApp","","","test_logout",""
"passed","Wed Aug 11 19:44:38 GMT 2021","Wed Aug 11 19:45:39 GMT 2021","61287","test_conduit","conduit_test","TestCondiutApp","","","test_rsd_entry_from_file",""
"passed","Wed Aug 11 19:43:49 GMT 2021","Wed Aug 11 19:44:04 GMT 2021","15343","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Wed Aug 11 19:43:18 GMT 2021","Wed Aug 11 19:43:18 GMT 2021","5","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
