"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 21:34:43 GMT 2021","Mon Aug 09 21:34:52 GMT 2021","8950","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Mon Aug 09 21:34:20 GMT 2021","Mon Aug 09 21:34:20 GMT 2021","5","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
"passed","Mon Aug 09 21:35:36 GMT 2021","Mon Aug 09 21:35:44 GMT 2021","7713","test_conduit","conduit_test","TestCondiutApp","","","test_logout",""
"passed","Mon Aug 09 21:34:55 GMT 2021","Mon Aug 09 21:35:11 GMT 2021","16352","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Mon Aug 09 21:35:46 GMT 2021","Mon Aug 09 21:36:50 GMT 2021","63349","test_conduit","conduit_test","TestCondiutApp","","","test_rsd_entry_from_file",""
"passed","Mon Aug 09 21:34:23 GMT 2021","Mon Aug 09 21:34:30 GMT 2021","7348","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
"passed","Mon Aug 09 21:35:14 GMT 2021","Mon Aug 09 21:35:33 GMT 2021","19117","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
"passed","Mon Aug 09 21:34:39 GMT 2021","Mon Aug 09 21:34:40 GMT 2021","1090","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Mon Aug 09 21:36:53 GMT 2021","Mon Aug 09 21:36:56 GMT 2021","2962","test_conduit","conduit_test","TestCondiutApp","","","test_save_data_from_web_to_file",""
"passed","Mon Aug 09 21:34:33 GMT 2021","Mon Aug 09 21:34:36 GMT 2021","3310","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
