"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 10:55:44 GMT 2021","Sun Aug 08 10:55:44 GMT 2021","5","test_conduit","test_locally_test","TestCondiutLocally","","","test_login",""
"passed","Sun Aug 08 11:03:44 GMT 2021","Sun Aug 08 11:03:49 GMT 2021","5331","test_conduit","conduit_test","TestCondiutLogin","","","test_cookie_accept",""
"broken","Sun Aug 08 10:49:52 GMT 2021","Sun Aug 08 10:50:05 GMT 2021","12568","test_conduit","test_locally_test","TestCondiutLocally","","","test_sign_up",""
"passed","Sun Aug 08 11:03:41 GMT 2021","Sun Aug 08 11:03:41 GMT 2021","7","test_conduit","conduit_test","TestCondiutLogin","","","test__home_page_appearances",""
"passed","Sun Aug 08 11:03:57 GMT 2021","Sun Aug 08 11:03:58 GMT 2021","1005","test_conduit","conduit_test","TestCondiutLogin","","","test_login",""
"passed","Sun Aug 08 11:03:52 GMT 2021","Sun Aug 08 11:03:55 GMT 2021","2636","test_conduit","conduit_test","TestCondiutLogin","","","test_sign_up",""
