"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 13:00:20 GMT 2021","Sun Aug 08 13:00:24 GMT 2021","3419","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
"passed","Sun Aug 08 13:00:13 GMT 2021","Sun Aug 08 13:00:18 GMT 2021","5326","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
"passed","Sun Aug 08 13:00:10 GMT 2021","Sun Aug 08 13:00:10 GMT 2021","5","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
"passed","Sun Aug 08 13:00:26 GMT 2021","Sun Aug 08 13:00:27 GMT 2021","945","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Sun Aug 08 13:00:29 GMT 2021","Sun Aug 08 13:00:37 GMT 2021","8306","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Sun Aug 08 13:00:40 GMT 2021","Sun Aug 08 13:00:55 GMT 2021","14884","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Sun Aug 08 13:00:58 GMT 2021","Sun Aug 08 13:01:14 GMT 2021","16189","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
