"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 09:48:42 GMT 2021","Sun Aug 08 09:48:42 GMT 2021","5","test_conduit","conduit_test","TestCondiutLogin","","","test__home_page_appearances",""
"passed","Sun Aug 08 09:48:52 GMT 2021","Sun Aug 08 09:48:54 GMT 2021","2563","test_conduit","conduit_test","TestCondiutLogin","","","test_sign_up",""
"broken","Sun Aug 08 09:48:44 GMT 2021","Sun Aug 08 09:48:49 GMT 2021","5555","test_conduit","conduit_test","TestCondiutLogin","","","test_navigate_to_login",""
