"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 20:27:09 GMT 2021","Mon Aug 09 20:27:09 GMT 2021","5","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
"passed","Mon Aug 09 20:27:19 GMT 2021","Mon Aug 09 20:27:20 GMT 2021","948","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Mon Aug 09 20:28:10 GMT 2021","Mon Aug 09 20:28:18 GMT 2021","7450","test_conduit","conduit_test","TestCondiutApp","","","test_logout",""
"passed","Mon Aug 09 20:27:51 GMT 2021","Mon Aug 09 20:28:08 GMT 2021","16188","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
"failed","Mon Aug 09 20:27:11 GMT 2021","Mon Aug 09 20:27:11 GMT 2021","177","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
"passed","Mon Aug 09 20:27:23 GMT 2021","Mon Aug 09 20:27:31 GMT 2021","8306","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Mon Aug 09 20:27:34 GMT 2021","Mon Aug 09 20:27:49 GMT 2021","15131","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Mon Aug 09 20:27:14 GMT 2021","Mon Aug 09 20:27:17 GMT 2021","2543","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
"broken","Mon Aug 09 20:28:20 GMT 2021","Mon Aug 09 20:28:31 GMT 2021","10222","test_conduit","conduit_test","TestCondiutApp","","","test_rsd_entry_from_file",""
