"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 17:25:34 GMT 2021","Sun Aug 08 17:25:35 GMT 2021","1570","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Sun Aug 08 17:25:50 GMT 2021","Sun Aug 08 17:26:06 GMT 2021","16195","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Sun Aug 08 17:26:28 GMT 2021","Sun Aug 08 17:26:36 GMT 2021","7609","test_conduit","conduit_test","TestCondiutApp","","","test_logout",""
"passed","Sun Aug 08 17:26:09 GMT 2021","Sun Aug 08 17:26:25 GMT 2021","16710","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
"passed","Sun Aug 08 17:25:17 GMT 2021","Sun Aug 08 17:25:17 GMT 2021","5","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
"passed","Sun Aug 08 17:25:28 GMT 2021","Sun Aug 08 17:25:31 GMT 2021","3274","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
"passed","Sun Aug 08 17:25:38 GMT 2021","Sun Aug 08 17:25:47 GMT 2021","8588","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Sun Aug 08 17:25:20 GMT 2021","Sun Aug 08 17:25:25 GMT 2021","5331","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
