"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 08 10:47:57 GMT 2021","Sun Aug 08 10:47:58 GMT 2021","1024","test_conduit","test_locally_test","TestCondiutLocally","","","test_sign_up",""
"passed","Sun Aug 08 10:52:01 GMT 2021","Sun Aug 08 10:52:02 GMT 2021","940","test_conduit","conduit_test","TestCondiutLogin","","","test_login",""
"passed","Sun Aug 08 10:51:40 GMT 2021","Sun Aug 08 10:51:45 GMT 2021","5285","test_conduit","conduit_test","TestCondiutLogin","","","test_cookie_accept",""
"passed","Sun Aug 08 10:51:38 GMT 2021","Sun Aug 08 10:51:38 GMT 2021","4","test_conduit","conduit_test","TestCondiutLogin","","","test__home_page_appearances",""
"broken","Sun Aug 08 10:51:47 GMT 2021","Sun Aug 08 10:51:58 GMT 2021","11030","test_conduit","conduit_test","TestCondiutLogin","","","test_sign_up",""
"passed","Sun Aug 08 10:47:52 GMT 2021","Sun Aug 08 10:47:53 GMT 2021","981","test_conduit","test_locally_test","TestCondiutLocally","","","test_login",""
